,,,,,,,,,SUBNATION_NAME,NAME_CATEGORY_DESC,ELCODE,FAMILY,Scientific Name,Common Name,SNAME [ACIMS],ORIGIN,TreeTime,SeedTime,GCOMNAME,S_RANK,N_RANK,G_RANK,ORIGIN,CURRENT_PRESENCE_ABSENCE,TRACK_STATUS,,,,GNAME
,,,,,,,,,Alberta,Vascular Plant,PMLIL02102,Liliaceae,Allium geyeri var. tenerum,Geyer's onion,Allium geyeri var. tenerum,Native,FALSE,FALSE,Bulbil Onion,SU,N3,G4G5T3T5 ,Native,Present,Track all extant and selected historical EOs,,,,Allium geyeri var. tenerum
,,,,,,ALCLA,K&S Growers,Medieval Manor Gardens,Alberta,Vascular Plant,PMLIL02230,Liliaceae,Allium schoenoprasum,wild chives,Allium schoenoprasum,Native,FALSE,FALSE,Wild Chives,S4,N5,G5,Native,Present,Do not track,,,,Allium schoenoprasum
,,,,,,,,ALCLA,Alberta,Vascular Plant,PMLIL022B0,Liliaceae,Allium textile,prairie onion,Allium textile,Native,FALSE,FALSE,White Wild Onion,S5,N5,G5,Native,Present,Do not track,,,,Allium textile
,,,,,,,,,Alberta,Vascular Plant,PDASTEL010,Asteraceae,Almutaster pauciflorus,few-flowered aster,Almutaster pauciflorus,Native,FALSE,FALSE,Alkali Marsh Aster,S3,N4,G4,Native,Present,Track all extant and selected historical EOs,,,,Almutaster pauciflorus
,,,,,,,,,Alberta,Vascular Plant,PDBET01020,Betulaceae,Alnus incana,alder,Alnus incana,Native,FALSE,FALSE,Speckled Alder,S5,N5,G5,Native,Present,Do not track,,,,Alnus incana
,,,,,,,,,Alberta,Vascular Plant,PDBET01022,Betulaceae,Alnus incana ssp. tenuifolia,river alder,Alnus incana ssp. tenuifolia,Native,TRUE,FALSE,Mountain Alder,S5,N5,G5T5,Native,Present,Do not track,,,,Alnus incana ssp. tenuifolia
,,,,,,,Medieval Manor Gardens,Sunstar Nurseries Ltd.,Alberta,Vascular Plant,PDBET01080,Betulaceae,Alnus viridis,green alder,Alnus viridis,Native,TRUE,FALSE,Green Alder,S5,N5,G5,Native,Present,Do not track,,,,Alnus viridis
,,,,,,,,,Alberta,Vascular Plant,PDBET01083,Betulaceae,Alnus viridis ssp. crispa,American green alder,Alnus viridis ssp. crispa,Native,FALSE,FALSE,Mountain Alder,S4S5,N5,G5T5,Native,Present,Do not track,,,,Alnus viridis ssp. crispa
,,,,,,,,,Alberta,Vascular Plant,PDBET01084,Betulaceae,Alnus viridis ssp. fruticosa,Siberian alder,Alnus viridis ssp. fruticosa,Native,FALSE,FALSE,Siberian Alder,SNR,N5,G5T5,Native,Present,Do not track,,,,Alnus viridis ssp. fruticosa
,,,,,,,,,Alberta,Vascular Plant,PDBET01082,Betulaceae,Alnus viridis ssp. sinuata,Sitka alder,Alnus viridis ssp. sinuata,Native,FALSE,FALSE,Sitka Alder,S4S5,N5,G5T5,Native,Present,Do not track,,,,Alnus viridis ssp. sinuata
,,,,,,,,,Alberta,Vascular Plant,PMPOA07010,Poaceae,Alopecurus aequalis,short-awned foxtail,Alopecurus aequalis,Native,FALSE,FALSE,Short-awn Foxtail,S5,N5,G5,Native,Present,Do not track,,,,Alopecurus aequalis
,,,,,,,,,Alberta,Vascular Plant,PMPOA07013,Poaceae,Alopecurus aequalis var. aequalis,short-awned foxtail,Alopecurus aequalis var. aequalis,Native,FALSE,FALSE,Short-awn Foxtail,S5,N5,G5T5,Native,Present,Do not track,,,,Alopecurus aequalis var. aequalis
,,,,,,,,,Alberta,Vascular Plant,PMPOA07030,Poaceae,Alopecurus arundinaceus,creeping foxtail,Alopecurus arundinaceus,Exotic,FALSE,FALSE,Creeping Foxtail,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Alopecurus arundinaceus
,,,,,,,,,Alberta,Vascular Plant,PMPOA07040,Poaceae,Alopecurus carolinianus,Carolina foxtail,Alopecurus carolinianus,Native,FALSE,FALSE,Tufted Foxtail,S3,N3,G5,Native,Present,Do not track,,,,Alopecurus carolinianus
,,,,,,,,,Alberta,Vascular Plant,PMPOA07060,Poaceae,Alopecurus geniculatus,water foxtail,Alopecurus geniculatus,Exotic,FALSE,FALSE,Marsh Meadow Foxtail,SNA,NNA,GU,Exotic,Present,Do not track,,,,Alopecurus geniculatus
,,,,,,,,,Alberta,Vascular Plant,PMPOA07020,Poaceae,Alopecurus magellanicus,alpine foxtail,Alopecurus magellanicus,Native,FALSE,FALSE,Mountain Foxtail,S3,N4N5,G5,Native,Present,Do not track,,,,Alopecurus alpinus
