Common name,Scientific name,Life span,Origin,Grazing response,Forage value,Stratum
Clover,Trifolium spp.,Perennial,Introduced,lncreaser,Good,Graminoid
Common horsetail,Equisetum arvense,Perennial,Native,Increaser,Poor,Graminoid
Common nettle,Urtica dioica,Perennial,Native,Increaser,Poor,Graminoid
Common peppergrass,Lepidium densiflorum,Annual,Native,Invader,Poor,Graminoid
Common scouring rush,Equisetum hyemale,Perennial,Native,Increaser,Poor,Graminoid
Common tansy,Tanacetum vulgare,Perennial,Introduced,Invader,Poor,Graminoid
Common yarrow,Achillea millefolium,Perennial,Native,lncreaser,Poor,Graminoid
Corydalis/touch-me-not,Corydalis & Impatiens spp.,Perennial,Native,Increaser,Poor,Graminoid
Cow parsnip,Heracleum lanatum,Perennial,Native,Decreaser,Good,Graminoid
Cream-coloured pea vine,Lathyrus ochroleucus,Perennial,Native,Decreaser,Good,Graminoid
Cut-leaved anemone,Anemone multifida,Perennial,Native,lncreaser,Poor,Graminoid
Dandelion,Taraxacum officinale,Perennial,Introduced,lnvader,Fair,Graminoid
Death camas,Zigadenus venenosus,Perennial,Native,lncreaser,Poor and poisonous,Graminoid
Dock/sorrel/wild begonia,Rumex spp.,Perennial,Native,Invader/Increaser,Poor,Graminoid
Dotted blazing star,Liatris punctata,Perennial,Native,Decreaser,Good,Graminoid
Drummond milk vetch,Astragalus drummondii,Perennial,Native,Decreaser,Good,Graminoid
Early blue violet,Viola adunca,Perennial,Native,Increaser,Poor,Graminoid
False dandelion,Agoseris glauca,Perennial,Native,lncreaser,Fair,Graminoid
False hellebore,Veratrum eschscholtzii,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Field chickweed,Cerastium arvense,Perennial,Native,Increaser,Fair,Graminoid
Fireweed/willow-herb,Epilobium spp.,Perennial,Native,Increaser,Fair,Graminoid
Fleabane,Erigeron spp.,Perennial,Native,lncreaser,Poor,Graminoid
Gaillardia,Gaillardia aristata,Perennial,Native,lncreaser,Poor,Graminoid
Geranium,Geranium spp.,Perennial,Native,Decreaser,Good,Graminoid
Goat’s-beard,Tragopogon dubius,Biennial,Introduced,lnvader,Poor,Graminoid
Goldenrod,Solidago spp.,Perennial,Native,lnvader,Poor,Graminoid
Ground plum,Astragalus crassicarpus,Perennial,Native,Decreaser,Good,Graminoid
Gumweed,Grindelia squarrosa,Biennial,Native,lncreaser,Poor,Graminoid
Hairy golden aster,Heterotheca villosa,Perennial,Native,lncreaser,Fair,Graminoid
Hawksbeard,Crepis spp.,Perennial,Native,Decreaser,Fair,Graminoid
Hawkweed,Hieracium spp.,Perennial,Native,Decreaser,Good,Graminoid
Hedysarum,Hedysarum spp.,Perennial,Native,lncreaser,Fair,Graminoid
Indian milk vetch,Astragalus aboriginum,Perennial,Native,Increaser,Good,Graminoid
Knapweed,Centaurea spp.,Biennial,Introduced,lnvader,Poor,Graminoid
Lamb’s-quarters,Chenopodium album,Introduced,Annual,lnvader,Poor,Graminoid
Larkspurs,Delphinium spp.,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Leafy spurge,Euphorbia esula,Perennial,Introduced,lnvader,Poor and poisonous,Graminoid
Little clubmoss,Selaginella densa,Perennial,Native,Increaser,Poor,Graminoid
Locoweed,Oxytropis spp.,Perennial,Native,lncreaser,Poor and poisonous,Graminoid
Long-leaved chickweed,Stellaria longifolia,Perennial,Native,Increaser,Fair,Graminoid
Lupine,Lupinus spp.,Perennial,Native,lncreaser,Poor and poisonous,Graminoid
Meadow rue,Thalictrum spp.,Perennial,Native,lncreaser,Poor,Graminoid
Missouri milk vetch,Astragalus missouriensis,Perennial,Native,Increaer,Fair,Graminoid
Moss phlox,Phlox hoodii,Perennial,Native,lncreaser,Poor,Graminoid
Narrow-leaved milk vetch,Astragalus pectinatus,Perennial,Native,lncreaser,Poor and poisonous,Graminoid
Narrow-leaved wormwood,Artemisia dracunculus,Perennial,Native,lncreaser,Poor,Graminoid
Northern bedstraw,Galium boreale,Perennial,Native,Increaser,Poor,Graminoid
Northern gentian,Gentianella amarella,Annual / Biennial,Native,Increaser,Poor,Graminoid
Ox-eye daisy,Chrysanthemum leucanthemum,Perennial,Introduced,Invader,Poor,Graminoid
Paint-brush,Castilleja spp.,Perennial,Native,Increaser,Poor,Graminoid
Pasture sage,Artemesia frigida,Perennial,Native,Increaser,Poor,Graminoid
Plantain,Plantago spp.,Annual,Native,Increaser,Poor,Graminoid
Prairie clovers,Petalestemon spp.,Perennial,Native,Increaser,Fair,Graminoid
Prairie cone-flower,Ratibida columnifera,Perennial,Native,Increaser,Poor,Graminoid
Prairie crocus,Anemone patens,Perennial,Native,lncreaser,Poor,Graminoid
Prairie onion,Allium textile,Perennial,Native,lncreaser,Fair,Graminoid
Prairie sage,Artemisia ludoviciana,Perennial,Native,lncreaser,Poor,Graminoid
Purple milk vetch,Astragalus dasyglottis,Perennial,Native,Increaser,Fair,Graminoid
Purple pea vine,Lathyrus venosus,Perennial,Native,Decreaser,Good,Graminoid
Pussy-toes/everlasting,Antennaria spp.,Perennial,Native,Increaser,Poor,Graminoid
Prostrate pigweed,Amaranthus graecizans,Annual,Native,lnvader,Poor,Graminoid
Rock cress,Arabis spp.,Biennial,Native,Increasers,Poor,Graminoid
Russian thistle,Salsola kali,Annual,Introduced,lnvader,Poor,Graminoid
Sainfoin,Onybrychis viciifolia,Perennial,Introduced,Invader,Good,Graminoid
Scarlet mallow,Sphaeralcea coccinea,Perennial,Native,lncreaser,Poor,Graminoid
Scentless chamomile,Matricaria perforata,Perennial,Introduced,Inavder,Poor,Graminoid
Seaside arrow-grass,Triglochin maritima,Perennial,Native,lncreaser,Poor and poisonous,Graminoid
Showy milkweed,Asclepias speciosa,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Silver saltbush,Atriplex argentea,Annual,Native,Increaser,Fair,Graminoid
Slender milk vetch,Astragalus flexuosus,Perennial,Native,Increaser,Fair,Graminoid
Sow thistle,Sonchus spp.,Perennial,Introduced,Invader,Fair,Graminoid
Spiny ironplant,Haplopappus spinulosus,Perennial,Native,Increaser,Poor,Graminoid
Star-flowered solomon’s seal,Smilacina stellata,Perennial,Native,Increaser,Fair,Graminoid
Sticky geranium,Geranium viscosissimum,Perennial,Native,Decreaser,Good,Graminoid
Strawberry blite,Chenopodium capitatum,Annual,Introduced,Invader,Poor,Graminoid
Sweet clover,Melilotus spp.,Biennial,Introduced,lnvader,Good; mature plants become poor,Graminoid
Three-flowered avens (old man’s whiskers),Geum triflorum,Perennial,Native,lncreaser,Poor,Graminoid
